TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,state,xbot2,0,0,0,0,10042022-023922
red,state,xbot4,30,30,0,0,10042022-023922
red,state,xbot3,0,0,0,0,10042022-023922
red,state,xbot1,15,15,0,0,10042022-023922
blue,state,ybot1,5,0,5,0,10042022-023922
blue,state,ybot2,25,15,10,0,10042022-023922
blue,state,ybot3,50,45,5,0,10042022-023922
blue,state,ybot4,20,15,5,0,10042022-023922
red,state,xbot2,15,15,0,0,10042022-024249
red,state,xbot4,15,15,0,0,10042022-024249
red,state,xbot3,5,0,5,0,10042022-024249
red,state,xbot1,15,15,0,0,10042022-024249
blue,state,ybot1,15,15,0,0,10042022-024249
blue,state,ybot2,20,15,5,0,10042022-024249
blue,state,ybot3,55,45,10,0,10042022-024249
blue,state,ybot4,10,0,10,0,10042022-024249
red,state,xbot2,5,0,5,0,10042022-030607
red,state,xbot4,75,60,15,0,10042022-030607
red,state,xbot3,5,0,5,0,10042022-030607
red,state,xbot1,5,0,5,0,10042022-030607
blue,state,ybot1,10,0,10,0,10042022-030607
blue,state,ybot2,45,45,0,0,10042022-030607
blue,state,ybot3,35,30,5,0,10042022-030607
blue,state,ybot4,15,15,0,0,10042022-030607
red,state,xbot2,15,15,0,0,10042022-031313
red,state,xbot4,15,15,0,0,10042022-031313
red,state,xbot3,15,15,0,0,10042022-031313
red,state,xbot1,45,45,0,0,10042022-031313
blue,state,ybot1,30,30,0,0,10042022-031313
blue,state,ybot2,0,0,0,0,10042022-031313
blue,state,ybot3,35,30,5,0,10042022-031313
blue,state,ybot4,40,30,10,0,10042022-031313
