TEAM,AI TYPE,TOTAL,CAPTURES,DEFENDS,KILLS,WON,DATE/TIME
==============================================
red,state,45,45,0,3,no,18042022-160214
blue,state,100,60,40,4,yes,18042022-160214
red,state,110,90,20,8,yes,18042022-214900
blue,state,85,75,10,3,no,18042022-214900
red,state,100,75,25,6,yes,18042022-215826
blue,state,75,60,15,4,no,18042022-215826
red,state,55,45,10,5,no,18042022-220017
blue,state,105,75,30,5,yes,18042022-220017
red,state,90,60,30,7,no,18042022-220432
blue,state,100,75,25,2,yes,18042022-220432
red,machine,100,60,40,0,yes,20042022-153519
blue,machine,40,30,10,0,no,20042022-153519
red,machine,0,0,0,0,no,22042022-135738
blue,machine,100,15,85,0,yes,22042022-135738
