TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,machine,xbot1,100,45,55,0,27042022-022729
red,machine,xbot2,0,0,0,0,27042022-022729
red,machine,xbot3,0,0,0,0,27042022-022729
red,machine,xbot4,0,0,0,0,27042022-022729
blue,machine,ybot1,85,45,40,0,27042022-022729
blue,machine,ybot2,0,0,0,0,27042022-022729
blue,machine,ybot3,0,0,0,0,27042022-022729
blue,machine,ybot4,0,0,0,0,27042022-022729
red,machine,xbot1,100,90,10,0,27042022-022729
red,machine,xbot2,0,0,0,0,27042022-022729
red,machine,xbot3,0,0,0,0,27042022-022729
red,machine,xbot4,0,0,0,0,27042022-022729
blue,machine,ybot1,80,75,5,0,27042022-022729
blue,machine,ybot2,0,0,0,0,27042022-022729
blue,machine,ybot3,0,0,0,0,27042022-022729
blue,machine,ybot4,0,0,0,0,27042022-022729
